review_id,review_text,rating,review_length,clean_review,sentiment_score,sentiment_category
1,The product is excellent and works perfectly,5,44,the product is excellent and works perfectly,0.836,Positive
2,"Very bad experience, totally disappointed",1,41,very bad experience totally disappointed,-0.8012,Negative
3,"Amazing quality, I am very happy with this purchase",5,51,amazing quality i am very happy with this purchase,0.8313,Positive
4,Not worth the money,2,19,not worth the money,-0.1695,Negative
5,Customer service was helpful and polite,4,39,customer service was helpful and polite,0.4215,Positive
6,"Terrible product, stopped working in a week",1,43,terrible product stopped working in a week,-0.6124,Negative
7,"I love this item, highly recommended",5,36,i love this item highly recommended,0.7425,Positive
8,Worst purchase I have ever made,1,31,worst purchase i have ever made,-0.6249,Negative
9,The quality is decent for the price,3,35,the quality is decent for the price,0.0,Neutral
10,Very satisfied with the product,5,31,very satisfied with the product,0.4754,Positive
11,Poor build quality,2,18,poor build quality,-0.4767,Negative
12,Excellent performance and great value,5,37,excellent performance and great value,0.8807,Positive
13,"Not satisfied, expected better",2,30,not satisfied expected better,-0.5773,Negative
14,This product exceeded my expectations,5,37,this product exceeded my expectations,0.0,Neutral
15,Waste of money,1,14,waste of money,-0.4215,Negative
16,Good quality and fast delivery,4,30,good quality and fast delivery,0.4404,Positive
17,The product arrived damaged,1,27,the product arrived damaged,-0.4404,Negative
18,Very happy with customer support,5,32,very happy with customer support,0.7713,Positive
19,"The item is okay, nothing special",3,33,the item is okay nothing special,-0.092,Negative
20,Extremely disappointed with this product,1,40,extremely disappointed with this product,-0.5256,Negative
21,"Fantastic product, will buy again",5,33,fantastic product will buy again,0.5574,Positive
22,Bad quality material,2,20,bad quality material,-0.5423,Negative
23,Loved the design and functionality,5,34,loved the design and functionality,0.5994,Positive
24,Does not work as advertised,1,27,does not work as advertised,0.0,Neutral
25,Great experience overall,5,24,great experience overall,0.6249,Positive
26,Not happy with the purchase,2,27,not happy with the purchase,-0.4585,Negative
27,Highly satisfied with the quality,5,33,highly satisfied with the quality,0.4754,Positive
28,Very poor performance,1,21,very poor performance,-0.5256,Negative
29,Excellent customer service,5,26,excellent customer service,0.5719,Positive
30,The product broke after few uses,1,32,the product broke after few uses,-0.4215,Negative
31,I am impressed with the quality,5,31,i am impressed with the quality,0.4767,Positive
32,Terrible experience overall,1,27,terrible experience overall,-0.4767,Negative
33,Good value for money,4,20,good value for money,0.6486,Positive
34,Not recommended,2,15,not recommended,-0.1511,Negative
35,Very pleased with this purchase,5,31,very pleased with this purchase,0.4927,Positive
36,Poor packaging and late delivery,2,32,poor packaging and late delivery,-0.4767,Negative
37,Outstanding quality,5,19,outstanding quality,0.6124,Positive
38,Worst service ever,1,18,worst service ever,-0.6249,Negative
39,Happy with the purchase,4,23,happy with the purchase,0.5719,Positive
40,Disappointed with the results,2,29,disappointed with the results,-0.4767,Negative
41,Superb product,5,14,superb product,0.6249,Positive
42,Low quality and bad finish,2,26,low quality and bad finish,-0.6808,Negative
43,Really satisfied,5,16,really satisfied,0.4754,Positive
44,Not useful at all,1,17,not useful at all,-0.3412,Negative
45,"Great product, easy to use",5,26,great product easy to use,0.7906,Positive
46,Bad experience,1,14,bad experience,-0.5423,Negative
47,Excellent choice,5,16,excellent choice,0.5719,Positive
48,Would not buy again,2,19,would not buy again,0.0,Neutral
49,Highly recommended product,5,26,highly recommended product,0.2716,Positive
50,Average quality,3,15,average quality,0.0,Neutral
